"Plot","NumSp","Species","Fgset","Fgset2","soil_diffgm2_0.20cm_Calcium_aa","soil_diffgm2_0.20cm_Carbon_ea","soil_diffgm2_0.20cm_CEC_aa","soil_diffgm2_0.20cm_Magnesium_aa","soil_diffgm2_0.20cm_Nitrogen_ea","soil_diffgm2_0.20cm_pH_1:1w","soil_diffgm2_0.20cm_Phosphorus_bray","soil_diffgm2_0.20cm_Potassium_aa","gm2_1994_0.20cm_Calcium_aa","gm2_1994_0.20cm_Carbon_ea","gm2_1994_0.20cm_CEC_aa","gm2_1994_0.20cm_Magnesium_aa","gm2_1994_0.20cm_Nitrogen_ea","gm2_1994_0.20cm_pH_1:1w","gm2_1994_0.20cm_Phosphorus_bray","gm2_1994_0.20cm_Potassium_aa","gm2_2017_0.20cm_Calcium_aa","gm2_2017_0.20cm_Carbon_ea","gm2_2017_0.20cm_CEC_aa","gm2_2017_0.20cm_Magnesium_aa","gm2_2017_0.20cm_Nitrogen_ea","gm2_2017_0.20cm_pH_1:1w","gm2_2017_0.20cm_Phosphorus_bray","gm2_2017_0.20cm_Potassium_aa","AbvBioAnnProd.2015.2017","Root030cm.2015.2017","TotalProd.2015.2017","Nitrogen_gm2_Abv","Phosphorus_gm2_Abv","Potassium_gm2_Abv","Magnesium_gm2_Abv","Calcium_gm2_Abv","Nitrogen_gm2_Root.0.30cm","Phosphorus_gm2_Root.0.30cm","Potassium_gm2_Root.0.30cm","Magnesium_gm2_Root.0.30cm","Calcium_gm2_Root.0.30cm","Calcium_total.soil.plant.g.m2","Magnesium_total.soil.plant.g.m2","Nitrogen_total.soil.plant.g.m2","Phosphorus_total.soil.plant.g.m2","Potassium_total.soil.plant.g.m2"
108,16,"Achmi Agrsm Amoca Andge Elyca Koecr Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",77.61,613.34,1.92,16.94,33.77,1.2,-3.79,9.4,84.1,1241,1.81,9.65,122.64,5,15.18,6.51,161.71,1854.35,3.73,26.58,156.41,6.2,11.4,15.91,402.23,1550.43,1952.66,4.5,0.84,5.39,1.05,4.3,10.08,2.02,6.98,2.02,10.08,91.99,20.01,48.35,-0.93,21.77
109,1,"Andge","4","G",21.22,233.1,0.5,5.09,9.62,0.9,-2.37,0.14,82.47,1036,1.77,9.7,103.6,5,11.84,8.68,103.7,1269.1,2.27,14.79,113.22,5.9,9.47,8.83,64.68,674.69,739.38,0.62,0.15,0.53,0.13,0.42,2.09,0.54,1.28,0.61,2.09,23.73,5.83,12.33,-1.68,1.95
110,4,"Elyca Lesca Luppe Panvi","34L","GL",59.83,888.47,1.41,10.73,70.04,0.9,-2.82,2,68.71,982.72,1.53,8.66,103.6,5.1,10.36,10.15,128.54,1871.19,2.94,19.39,173.64,6,7.54,12.14,256.84,1178.57,1435.42,2.7,0.46,2.36,0.54,1.72,6.95,1.41,4.36,1.53,6.13,67.68,12.8,79.69,-0.95,8.72
111,8,"Achmi Agrsm Lesca Monfi Petca Petvi Poapr Queel Quema Solri","3FL","GFL",26.73,499.98,0.62,5.33,35.41,0.5,-1.8,-1.75,109.14,1331.1,2.58,19.94,130.5,5.4,7.54,11.88,135.88,1831.08,3.2,25.27,165.91,5.9,5.74,10.13,339.88,627.38,967.26,3.84,0.51,3.74,0.88,4.01,6.02,0.88,2.76,1.07,5.9,36.64,7.28,45.27,-0.41,4.75
115,8,"Agrsm Andge Asctu Elyca Koecr Monfi Poapr Queel Solri","34F","GF",-3.32,250.98,-0.13,-2.58,11.17,-0.1,-4.73,0.54,120.36,1143.66,2.82,24.26,111.72,5.9,12.05,6.86,117.04,1394.64,2.69,21.68,122.89,5.8,7.32,7.4,139.54,875.05,1014.58,0.95,0.25,1.19,0.28,0.92,4.9,1.05,2.63,1.14,3.68,1.28,-1.16,17.02,-3.43,4.36
117,2,"Asctu Luppe","FL","FL",58.51,381.46,1.24,6.67,35,1,-2.6,0.77,79.97,1077.44,1.93,16.51,103.6,5.4,10.36,9.38,138.48,1458.9,3.17,23.19,138.6,6.4,7.76,10.15,65.82,523.93,589.75,0.94,0.15,0.47,0.15,0.6,4.4,1.1,2.51,1,3.82,62.93,7.82,40.34,-1.35,3.75
118,8,"Achmi Agrsm Andge Asctu Koecr Monfi Petpu Quema Solri","34FL","GFL",12.03,440.92,0.29,3.76,24.09,0.5,-1.75,-0.07,97.24,1211.8,2.24,16.57,119.72,5.4,7.3,8.08,109.28,1652.72,2.53,20.33,143.81,5.9,5.55,8.01,150.34,840.81,991.15,1.44,0.26,1.22,0.36,1.52,4.96,0.67,1.93,1.01,6.56,20.11,5.13,30.49,-0.82,3.08
125,2,"Petpu Schsc","4L","GL",25.83,213.12,0.47,0.86,16.56,0.3,-4.9,1.23,122.27,1428.48,2.95,24.85,132.48,5.8,15.55,9.91,148.11,1641.6,3.42,25.71,149.04,6.1,10.66,11.14,205.82,982.16,1187.98,2.14,0.47,2.08,0.58,2.08,8.94,1.08,2.26,1.28,13.75,41.66,2.72,27.64,-3.35,5.57
129,1,"Liaas","F","F",23.88,-62.92,0.48,3.46,-5.72,0.6,-3.15,-2.22,116.24,1538.68,2.71,18.94,140.14,5.5,16.59,10.77,140.12,1475.76,3.19,22.4,134.42,6.1,13.44,8.55,165.02,1448.54,1613.56,1.37,0.17,2.23,0.79,2.01,5.5,1.59,9.85,2.75,12.02,37.91,7,1.15,-1.39,9.86
130,8,"Achmi Asctu Elyca Liaas Panvi Petpu Quema Schsc","34FL","GFL",28.52,-211.14,0.56,1.58,-5.52,1.1,-5.8,1.9,114.25,2139,2.82,20.64,173.88,5.3,15.73,10.61,142.77,1927.86,3.38,22.22,168.36,6.4,9.94,12.51,244.33,1296.2,1540.54,2.52,0.37,3.18,0.81,3.25,10.5,2.07,4.54,2.2,16.33,48.1,4.59,7.5,-3.36,9.62
133,4,"Lesca Monfi Petca Petvi Schsc Solri","4FL","GFL",13.34,312.88,0.16,-3.53,4.72,0.4,-4.25,-0.94,100.2,873.14,2.45,23.89,92.38,5.8,15.5,8.98,113.54,1186.02,2.61,20.36,97.1,6.2,11.25,8.04,219.65,950.97,1170.62,2.04,0.37,2.11,0.75,2.66,8.18,1.24,3.23,1.52,9.89,25.89,-1.26,14.94,-2.64,4.4
135,1,"Schsc","4","G",0.53,-52.2,-0.06,-1.5,-12.32,0.4,-2.32,-1.94,103.13,1406.5,2.43,18.71,124.7,5.5,12.47,10.43,103.66,1354.3,2.37,17.21,112.38,5.9,10.15,8.49,79.49,722.69,802.18,0.65,0.17,0.7,0.16,0.41,3.04,0.72,1.52,0.79,3.47,4.41,-0.55,-8.63,-1.43,0.28
136,16,"Achmi Agrsm Amoca Andge Asctu Elyca Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu","34FL","GFL",50.99,492.49,1.15,8.23,22.49,0.7,-4.63,1.74,117.73,1400.7,2.73,19.76,133.4,5.6,16.53,12.77,168.73,1893.19,3.88,27.99,155.89,6.3,11.9,14.5,253.03,1211.66,1464.7,2.38,0.58,3.04,0.63,2.45,9.45,1.7,4.6,1.94,11.75,65.19,10.8,34.32,-2.35,9.38
137,1,"Amoca","L","L",16.68,484.65,0.32,0.6,28.23,0.4,-6.78,-4.51,120.77,1386.2,2.8,21.14,136.3,5.5,13.92,9.86,137.45,1870.85,3.12,21.74,164.54,5.9,7.14,5.35,276.24,998.82,1275.05,4.48,0.66,1.88,0.69,3.4,9.99,3,2.5,3,8.09,28.17,4.29,42.7,-3.12,-0.13
138,4,"Achmi Elyca Koecr Liaas","3F","GF",15.65,551.54,0.23,2.23,23.56,0.4,-0.07,-11.29,130.72,1712.52,3.13,21.42,156.2,5.4,14.48,19.35,146.37,2264.06,3.36,23.64,179.76,5.8,14.42,8.06,166.39,700.4,866.79,1.38,0.23,1.48,0.75,1.7,3.99,1.05,3.43,1.33,5.04,22.39,4.31,28.93,1.21,-6.38
139,4,"Agrsm Elyca Koecr Lesca","3L","GL",26.82,715.59,0.58,5.16,50.91,0.4,-3.02,-2.95,111.29,1445.76,2.65,19.15,135.36,5.5,18.43,15.23,138.12,2161.35,3.23,24.31,186.27,5.9,15.41,12.28,269.62,1072.98,1342.61,2.75,0.51,2.53,0.49,1.46,10.41,1.72,3.65,1.5,9.01,37.29,7.15,64.07,-0.79,3.23
142,1,"Koecr","3","G",18.15,32.85,0.36,2.82,-5.84,0.6,-2.04,-2.03,119.01,1308.16,2.74,20.91,125.56,5.6,15.18,9.77,137.16,1341.01,3.1,23.73,119.72,6.2,13.14,7.75,74.97,334.82,409.79,0.85,0.18,0.7,0.14,0.38,4.05,0.5,0.84,0.54,2.58,21.11,3.5,-0.94,-1.36,-0.49
146,8,"Achmi Andge Lesca Monfi Panvi Poapr Queel Quema Solri","34FL","GFL",22.65,1077.5,0.62,7.69,60.66,0.6,-2.48,2.02,95.43,1587.3,2.03,8.76,143,5,12.58,7.5,118.07,2664.8,2.65,16.45,203.66,5.6,10.1,9.52,297.78,1291.68,1589.46,2.5,0.54,3.16,0.71,3.28,5.04,1.29,3.49,1.42,4.91,30.84,9.82,68.2,-0.65,8.67
149,4,"Monfi Petca Petvi Quema Solri Sornu","4FL","GFL",30.48,537.5,0.67,3.63,27.1,0.6,-0.96,1.76,113.57,1538.68,2.69,20.21,140.14,5.4,8.87,10.2,144.06,2076.18,3.36,23.84,167.24,6,7.9,11.96,322.86,1309.87,1632.72,3.45,0.52,3.52,0.77,3.58,7.47,1.31,4.85,1.96,14.67,48.73,6.36,38.02,0.87,10.13
156,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Monfi Panvi Petpu Queel Quema Schsc Solri Sornu","34FL","GFL",40.14,716.54,0.83,2.94,57.48,0.7,-2.71,4.18,91.92,1232.24,2.2,19.44,110.96,5.3,8.76,5.56,132.06,1948.78,3.03,22.38,168.44,6,6.05,9.74,238.81,1272.31,1511.12,2.36,0.38,2.46,0.6,2.08,9.67,1.65,4.2,2.29,12.09,54.31,5.83,69.51,-0.68,10.84
157,2,"Agrsm Koecr","3","G",13.81,78.54,0.37,5.06,-4.6,0.5,-0.89,-0.61,102.61,1514.88,2.18,10.57,141.12,5.2,8.06,7.61,116.42,1593.42,2.55,15.63,136.52,5.7,7.17,7,63.22,281.5,344.72,0.63,0.11,0.51,0.1,0.28,2.31,0.39,0.82,0.39,1.41,15.5,5.55,-1.66,-0.39,0.72
160,16,"Achmi Agrsm Amoca Andge Asctu Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu","34FL","GFL",78.5,475.96,1.73,11.92,20.44,1.1,-3.21,7.58,57.78,1243.92,1.31,7.42,110.96,5.1,16.64,8.59,136.29,1719.88,3.04,19.33,131.4,6.2,13.43,16.17,297.06,1266.12,1563.18,2.91,0.45,2.61,0.48,2.41,13.29,1.77,4.43,2.15,10.26,91.17,14.55,36.64,-0.99,14.62
163,1,"Sornu","4","G",10.75,-214.32,0.08,-2.1,-23.26,0.7,-5.64,-5.07,118.36,1762.5,2.96,24.85,149.46,5.5,18.05,12.54,129.1,1548.18,3.04,22.76,126.2,6.2,12.41,7.47,86.18,537.29,623.47,0.66,0.13,0.61,0.16,0.48,3.17,0.64,1.56,0.7,2.96,14.19,-1.24,-19.43,-4.87,-2.9
164,16,"Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",29.22,716.86,0.47,-1.67,51.1,0.5,-4.67,2.9,132.93,1246.84,3.3,32.32,110.96,5.7,17.23,10.39,162.15,1963.7,3.77,30.65,162.06,6.2,12.56,13.29,248.01,1000.84,1248.85,3.22,0.52,2.68,0.6,2.65,8.91,1.8,3.6,1.9,10.41,42.28,0.83,63.23,-2.35,9.18
165,2,"Poapr Sornu","34","G",1.99,113.49,-0.07,-3.2,-9.39,0.3,-2.77,0.37,136.62,1859.2,3.33,26.45,154,5.5,14.84,8.59,138.61,1972.68,3.26,23.25,144.61,5.8,12.07,8.96,121.41,801.02,922.43,0.9,0.21,1.04,0.19,0.87,4.81,1.04,2.32,1.04,4.33,7.19,-1.97,-3.68,-1.52,3.73
167,1,"Liaas","F","F",7.78,274.18,0.18,2.62,20.75,0.5,-2.88,-1.46,121.27,1077.44,2.71,20.37,97.68,5.5,17.17,7.84,129.05,1351.62,2.89,22.99,118.44,6,14.29,6.37,142.21,722.82,865.02,1.14,0.14,1.89,0.73,1.88,3.25,0.94,4.41,1.37,5.85,15.51,4.72,25.14,-1.8,4.84
168,2,"Andge Koecr","34","G",-5.18,281.84,-0.11,-0.94,8.82,0.2,-0.61,0.68,140.5,1290.64,3.16,23.42,122.64,5.8,10.8,7.26,135.32,1572.48,3.05,22.48,131.46,6,10.19,7.94,142.68,976.22,1118.9,1.06,0.31,1.11,0.37,1.06,4.3,0.98,2.25,1.17,4.59,0.470000000000001,0.6,14.18,0.68,4.04
169,16,"Achmi Agrsm Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Solri Sornu","34FL","GFL",52.32,709.89,1.17,7.41,45.96,0.8,-3.54,6.95,117.98,1089.28,2.68,21.22,103.6,5.7,14.8,7.58,170.3,1799.17,3.85,28.63,149.56,6.5,11.26,14.53,279.41,1427.59,1706.99,2.77,0.61,2.74,0.64,2.49,8.14,1.71,4.85,2,9.42,64.23,10.05,56.87,-1.22,14.54
170,8,"Achmi Asctu Elyca Koecr Monfi Petca Petpu Petvi Queel Solri","3FL","GFL",24.85,455.22,0.46,0.74,40.6,0.5,-0.32,0.72,112.91,1087.8,2.6,21.29,102.9,5.8,13.23,7.46,137.76,1543.02,3.06,22.03,143.5,6.3,12.91,8.18,241.85,542.73,784.58,3.41,0.58,2.35,0.82,3.39,6.19,0.76,1.3,0.87,6.46,34.7,2.43,50.2,1.02,4.37
171,2,"Koecr Luppe","3L","GL",43.84,516.09,0.89,3.94,44.56,0.6,-1.23,0.82,130.38,1232.24,2.99,23.48,113.88,5.8,16.64,8.89,174.23,1748.33,3.88,27.42,158.45,6.4,15.42,9.71,159.93,578.54,738.46,1.47,0.3,0.9,0.46,1.54,5.73,1.1,1.97,0.81,3.76,49.14,5.21,51.76,0.17,3.69
174,16,"Achmi Agrsm Amoca Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu","34FL","GFL",41.2,389.64,1.04,7.91,6.61,0.9,-3.43,6.84,133.44,1644.36,3.06,21.13,150.52,5.6,14.77,8.43,174.64,2034,4.1,29.04,157.13,6.5,11.34,15.27,298.63,1072.19,1370.82,2.93,0.57,2.93,0.69,2.87,9.65,1.5,3.65,1.93,14.58,58.65,10.53,19.19,-1.36,13.42
175,2,"Luppe Sornu","4L","GL",39.47,792.7,1.1,9.7,47.24,0.8,-1.22,5.56,145.92,1258.52,3.19,20.87,119.72,5.6,12.56,9.33,185.39,2051.22,4.29,30.57,166.96,6.4,11.34,14.89,297.58,1258.45,1556.03,2.5,0.6,2.77,0.74,2.44,9.69,1.64,4.4,1.89,8.43,50.34,12.33,59.43,1.02,12.73
176,4,"Agrsm Liaas Panvi Poapr","34F","GF",11.24,-239.98,0.21,0.75,-30.53,0.3,-7.1,-0.74,125.55,1712.52,2.98,22.99,153.36,5.6,19.31,9.3,136.79,1472.54,3.19,23.75,122.83,5.9,12.21,8.56,135.04,1026.75,1161.79,1.07,0.22,1.34,0.46,1.03,4.72,1.44,2.77,1.85,6.26,18.53,3.06,-24.74,-5.44,3.37
177,8,"Andge Asctu Koecr Liaas Petca Petvi Quema Schsc Sornu","34FL","GFL",34.17,404.94,0.71,3.19,26.46,0.9,-5,0.37,99.22,1746.6,2.42,18.89,156.2,5.3,18.18,11.75,133.39,2151.54,3.13,22.08,182.66,6.2,13.18,12.12,308.25,1221.64,1529.89,3.05,0.62,3.24,0.71,2.5,7.57,1.59,3.79,1.59,7.82,44.49,5.49,37.08,-2.79,7.4
178,8,"Achmi Agrsm Elyca Koecr Liaas Monfi Panvi Schsc Solri","34F","GF",14.58,-97.3,0.23,0.44,-24.78,0.6,-12.59,-6.07,134.95,2669.04,3.6,26.96,224.4,5.2,28.51,17.5,149.53,2571.74,3.83,27.4,199.62,5.8,15.92,11.43,276.22,1086.12,1362.33,1.99,0.52,3.54,0.66,2.32,6.19,1.41,4.24,1.85,8.15,25.05,2.95,-16.6,-10.66,1.71
185,1,"Petpu","L","L",28.24,9.23,0.49,2.6,0.71,0.7,-5.96,-7.13,74.6,1726.72,1.77,10.7,156.2,5,16.19,12.35,102.84,1735.95,2.26,13.3,156.91,5.7,10.22,5.22,91.56,444.3,535.86,1.44,0.25,0.48,0.27,0.93,5.33,0.62,0.67,0.53,4.22,33.39,3.4,7.48,-5.09,-5.98
186,16,"Achmi Agrsm Amoca Asctu Elyca Koecr Lesca Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",74.9,-60.72,1.74,12.91,-1.38,1.4,-7.18,1.25,80.41,2100.36,1.95,11.08,179.4,4.9,14.63,13.78,155.31,2039.64,3.69,23.99,178.02,6.3,7.45,15.02,373.88,1610.87,1984.75,4.11,0.75,5.57,0.82,4.11,9.83,2.42,4.83,2.74,11.44,90.45,16.47,12.56,-4.01,11.65
190,4,"Lesca Liaas Petpu Quema","FL","FL",10.58,-146.3,0.19,1.62,-4.2,0.5,-2.8,-3.62,108.97,1864.8,2.58,17.31,168,5.2,9.52,10.01,119.56,1718.5,2.77,18.93,163.8,5.7,6.72,6.39,211.9,632.21,844.1,1.61,0.28,1.97,1.12,2.61,7.33,1.07,1.64,1.07,6.83,20.02,3.81,4.74,-1.45,-0.0100000000000002
193,2,"Andge Luppe","4L","GL",76.34,1737.98,1.75,10.78,152.97,1.1,-3.2,8.4,93.77,1173.06,2.17,17.04,108.78,5.3,8.53,7.34,170.11,2911.04,3.92,27.82,261.75,6.4,5.32,15.75,293.7,1372.37,1666.08,2.2,0.47,2.73,0.7,2.58,8.65,1.37,4.8,1.92,7.82,86.74,13.4,163.82,-1.36,15.93
197,2,"Asctu Panvi","4F","GF",19.11,86.8,0.5,6.04,-7,0.8,-6.16,-0.02,104.76,1954.4,2.31,10.85,170.8,4.8,14.84,8.35,123.87,2041.2,2.81,16.89,163.8,5.6,8.68,8.33,175.94,956.64,1132.58,1.3,0.3,1.57,0.3,1.16,5.55,1.15,2.3,1.34,5.07,25.34,7.68,-0.15,-4.71,3.85
199,4,"Luppe Queel Quema Schsc","4L","GL",97.41,633.17,2.32,17.72,43.24,1.5,-6.68,7.39,80.62,1593.02,1.76,8.37,143,4.7,14.59,7.03,178.03,2226.19,4.08,26.09,186.24,6.2,7.91,14.42,254.14,1045.11,1299.25,2.19,0.41,2.24,0.51,1.73,6.38,1.15,2.82,1.36,6.17,105.31,19.59,51.81,-5.12,12.45
201,4,"Lesca Petpu Queel Sornu","4L","GL",39.31,659.31,0.76,-0.29,53.3,0.4,-3.61,4.29,145.45,1618.76,3.47,28.08,143,5.6,12.58,9.05,184.77,2278.07,4.23,27.79,196.3,6,8.97,13.34,278.34,878.16,1156.5,3.67,0.58,2.84,0.7,3.15,7.2,1.32,2.72,1.32,11.24,53.7,1.73,64.17,-1.71,9.85
202,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Schsc Solri Sornu","34FL","GFL",49.11,1082.84,1.28,6.77,75.25,0.6,-4,5.02,195.18,2309.28,4.87,37.85,195.84,5.6,17.95,10.77,244.28,3392.12,6.15,44.62,271.09,6.2,13.95,15.79,515.22,1466.25,1981.47,5.56,1.29,6.85,1.49,5.51,8.65,2.05,4.84,2.49,10.85,65.47,10.75,89.46,-0.66,16.71
205,1,"Petpu","L","L",7.86,-80.08,0.13,0.41,-7.86,0.8,-4.58,-1.26,148.69,1641.64,3.46,25.88,151.58,5.5,15.73,10.15,156.55,1561.56,3.59,26.29,143.72,6.3,11.15,8.88,149.84,710.09,859.93,2.34,0.36,1.24,0.43,2.4,8.59,1.42,2.2,1.35,11.57,21.83,2.19,3.07,-2.8,2.18
206,8,"Agrsm Andge Asctu Lesca Luppe Monfi Poapr Solri Sornu","34FL","GFL",35.15,186.59,1.04,7.22,13.27,1,-4.79,4.72,123.67,1838.64,2.89,19.98,163.56,5.5,17.2,8.88,158.82,2025.23,3.93,27.19,176.83,6.5,12.41,13.6,311.23,1141.94,1453.17,2.55,0.56,3.83,0.9,3.08,7.65,1.26,3.88,1.71,6.97,45.2,9.83,23.47,-2.97,12.43
208,8,"Achmi Agrsm Koecr Lesca Luppe Panvi Poapr Schsc","34FL","GFL",33.87,473.52,0.78,1.2,34.51,0.7,-5,4.68,150.65,1561.56,3.5,26.08,145.86,5.7,17.73,10.1,184.52,2035.08,4.28,27.28,180.36,6.4,12.73,14.78,323.72,1183.13,1506.85,3.08,0.65,2.85,0.65,1.97,10.29,1.54,3.55,1.89,9.47,45.31,3.74,47.88,-2.81,11.08
210,8,"Achmi Elyca Koecr Lesca Liaas Luppe Poapr Schsc","34FL","GFL",31.78,480.15,0.79,4.71,37.03,0.9,-5.41,2.62,147.76,1486.08,3.25,20.25,138.24,5.6,18.14,9.52,179.54,1966.23,4.04,24.97,175.27,6.5,12.74,12.14,306.19,1060.89,1367.09,3.18,0.55,2.39,0.89,3.34,9.12,1.59,2.65,1.7,8.59,43.71,7.3,49.33,-3.27,7.66
211,2,"Monfi Petca Petvi Solri","FL","FL",16.72,364.99,0.27,-1.28,26.44,0.2,-1.37,-0.7,117.02,1506.24,2.79,22.6,144,5.7,16.42,9.65,133.75,1871.23,3.06,21.32,170.44,5.9,15.04,8.95,266.79,488.95,755.74,4.27,0.59,1.28,0.61,2.56,7.19,1.12,2.15,0.98,5.57,24.85,0.31,37.9,0.34,2.73
213,8,"Achmi Andge Koecr Lesca Petca Petvi Poapr Quema Schsc","34FL","GFL",-3.06,556.4,-0.03,0,46.3,0.2,-4.12,3.1,115.55,1102.5,2.59,19.13,108.78,5.9,17.05,7.53,112.49,1658.9,2.56,19.13,155.08,6.1,12.94,10.63,281.77,735.44,1017.21,2.7,0.51,2.56,0.59,1.72,5.66,0.66,1.91,0.88,6.18,4.84,1.47,54.66,-2.95,7.57
220,16,"Achmi Agrsm Amoca Andge Asctu Koecr Lesca Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",33.59,667.4,0.99,11.43,51.16,0.8,-7.76,7.32,81.63,1093.68,1.67,6.77,105.84,5.2,20.29,6.87,115.22,1761.08,2.66,18.2,157,6,12.52,14.19,249.52,992.61,1242.12,2.5,0.52,2.84,0.55,1.82,9.63,1.09,2.88,1.09,8.04,43.45,13.07,63.29,-6.15,13.04
223,4,"Koecr Liaas Poapr Queel","3F","GF",-9.12,436.99,-0.01,5.16,30.07,0.3,-0.92,-0.2,131.4,1428.48,2.67,10.42,135.36,5.3,8.64,7.46,122.28,1865.47,2.66,15.58,165.44,5.6,7.72,7.25,110.76,424.66,535.42,0.88,0.1,1.2,0.48,1.23,2.97,0.55,2.08,0.89,3.48,-4.41,6.53,33.92,-0.27,3.08
224,2,"Achmi Sornu","4F","GF",3.38,368.64,0.18,4.75,8.64,0.5,-3.74,-0.08,96.26,1437.12,2.08,10.04,135.36,5.1,12.67,10.1,99.64,1805.76,2.26,14.79,144,5.6,8.93,10.02,107.56,678.95,786.52,0.8,0.15,1.03,0.1,0.73,4.62,0.75,1.22,0.75,3.39,7.5,5.6,14.06,-2.84,2.17
